Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,114.570000,115.080002,113.949997,114.510002,112.161224,6080900
2018-01-03,114.949997,115.790001,114.660004,115.650002,113.277832,6946100
2018-01-04,116.250000,117.360001,116.029999,116.080002,113.699020,7805300
2018-01-05,116.989998,119.000000,116.419998,118.860001,116.422012,8590500
2018-01-08,118.610001,120.480003,118.070000,119.339996,116.892151,6660700
2018-01-09,119.970001,119.970001,118.660004,119.110001,116.666870,6562400
2018-01-10,118.690002,119.050003,117.459999,118.980003,116.539551,7490300
2018-01-11,118.800003,119.980003,118.680000,119.839996,117.381897,5982100
2018-01-12,120.120003,120.349998,119.709999,120.089996,117.626762,5585800
2018-01-16,121.180000,121.940002,119.910004,120.389999,117.920601,8803800
2018-01-17,121.199997,122.160004,120.730003,121.980003,119.477997,7991500
2018-01-18,122.519997,123.199997,122.029999,123.110001,120.584831,8661000
2018-01-19,123.050003,123.650002,121.919998,122.699997,120.183220,8250700
2018-01-22,122.870003,124.330002,122.400002,124.330002,121.779808,9355000
2018-01-23,124.599998,125.510002,124.209999,124.650002,122.093239,5683300
2018-01-24,125.050003,125.449997,123.709999,124.550003,121.995277,6425200
2018-01-25,125.000000,125.470001,124.629997,125.220001,122.651543,7166400
2018-01-26,125.769997,126.379997,124.760002,126.320000,123.728989,5604900
2018-01-29,126.739998,126.879997,124.690002,124.839996,122.279327,6257900
2018-01-30,123.820000,124.290001,122.839996,123.550003,121.015778,8154400
2018-01-31,123.779999,124.480003,123.040001,124.230003,121.681862,7338200
2018-02-01,124.739998,126.260002,124.099998,125.720001,123.141296,11169700
2018-02-02,123.720001,123.720001,120.699997,120.910004,118.429962,13937700
2018-02-05,118.699997,121.129997,115.010002,116.269997,113.885117,16623900
2018-02-06,115.199997,120.300003,113.250000,119.970001,117.509224,19053300
2018-02-07,120.089996,122.459999,119.209999,119.650002,117.195793,9294000
2018-02-08,119.529999,119.820000,113.540001,113.860001,111.524544,12673400
2018-02-09,114.550003,117.209999,111.019997,116.320000,113.934097,17695500
2018-02-12,117.790001,118.839996,116.879997,118.470001,116.039993,11526300
2018-02-13,117.849998,118.800003,117.129997,118.349998,115.922470,7803900
2018-02-14,117.620003,120.949997,117.500000,120.830002,118.351593,9206400
2018-02-15,121.699997,122.309998,119.970001,122.279999,119.980362,6921300
2018-02-16,121.629997,122.989998,121.570000,121.849998,119.558456,6371400
2018-02-20,121.349998,123.050003,121.019997,122.010002,119.715454,6182800
2018-02-21,122.050003,122.830002,120.410004,120.430000,118.165154,7676100
2018-02-22,120.669998,121.379997,119.620003,120.379997,118.116089,4994000
2018-02-23,121.570000,122.959999,121.220001,122.930000,120.618141,5036900
2018-02-26,123.580002,124.599998,123.320000,124.589996,122.246918,6270500
2018-02-27,124.699997,125.300003,123.349998,123.370003,121.049873,7287200
2018-02-28,123.650002,124.980003,122.879997,122.940002,120.627953,6780900
2018-03-01,123.260002,124.000000,119.620003,120.400002,118.135727,8819600
2018-03-02,119.089996,120.980003,117.860001,120.769997,118.498764,7581900
2018-03-05,120.449997,122.309998,119.440002,121.879997,119.587891,5810200
2018-03-06,122.830002,123.239998,120.669998,121.059998,118.783302,7464400
2018-03-07,120.029999,122.239998,119.699997,121.849998,119.558456,7254100
2018-03-08,121.959999,122.820000,121.169998,122.220001,119.921501,6948900
2018-03-09,123.250000,124.790001,122.870003,124.510002,122.168434,6397700
2018-03-12,124.750000,124.980003,123.480003,124.239998,121.903503,8636000
2018-03-13,124.250000,125.000000,122.900002,123.199997,120.883064,9479500
2018-03-14,124.040001,124.040001,121.900002,122.580002,120.274727,7855000
2018-03-15,123.129997,124.419998,122.699997,123.410004,121.089119,5861900
2018-03-16,123.849998,125.050003,123.330002,124.529999,122.188042,9447100
2018-03-19,123.940002,124.309998,122.279999,123.209999,120.892868,17387800
2018-03-20,123.379997,125.169998,123.300003,124.910004,122.560913,7779700
2018-03-21,124.900002,125.440002,123.070000,123.220001,120.902687,7359500
2018-03-22,122.199997,122.680000,119.699997,119.989998,117.733437,10501500
